machine,method,feature_type,n_mels,input_dim,train_normal_files,test_normal_files,test_anomaly_files,epochs_configured,epochs_trained,batch_size,learning_rate,threshold_percentile,threshold,roc_auc,pr_auc,accuracy,normal_precision,normal_recall,normal_f1,anomaly_precision,anomaly_recall,anomaly_f1,macro_f1,weighted_f1,tn,fp,fn,tp
fan,DenseAE,logmel_mean_std,64,128,3675,400,1475,150,17,64,0.001,95,0.7370901823043812,0.5163186440677966,0.7945529287241753,0.2501333333333333,0.21452894438138478,0.945,0.34967622571692875,0.8053097345132744,0.06169491525423729,0.11460957178841309,0.2321428987526709,0.16475712462649644,378,22,1384,91
pump,DenseAE,logmel_mean_std,64,128,3349,400,456,150,17,64,0.001,95,0.6146628618240356,0.6510800438596492,0.6766820265459381,0.522196261682243,0.49411764705882355,0.945,0.6489270386266094,0.7582417582417582,0.1513157894736842,0.2522851919561243,0.45060611529136685,0.4376318492787809,378,22,387,69
valve,DenseAE,logmel_mean_std,64,128,3291,400,479,150,17,64,0.001,95,0.5779776275157928,0.6122077244258873,0.6074314182873009,0.4664391353811149,0.4581818181818182,0.945,0.6171428571428571,0.5925925925925926,0.06680584551148225,0.1200750469043152,0.3686089520235861,0.346272002644266,378,22,447,32
