machine,method,AUC,pAUC,Accuracy,Precision,Recall,F1,Threshold,TN,FP,FN,TP
fan,DenseAE,0.7158,0.2122,0.7947,0.7968,0.9919,0.8837,0.070823,27,373,12,1463
pump,DenseAE,0.7849,0.3929,0.7126,0.7092,0.7807,0.7432,0.153586,254,146,100,356
valve,DenseAE,0.7351,0.0776,0.7258,0.6977,0.8768,0.7771,0.117643,218,182,59,420
