machine,method,AUC,pAUC,Accuracy,Precision,Recall,F1,Threshold,TN,FP,FN,TP
fan,OCSVM,0.6192,0.1842,0.7867,0.7867,1.0,0.8806,-5.175855,0,400,0,1475
pump,OCSVM,0.7393,0.3494,0.6273,0.5958,0.9342,0.7276,-3.339079,111,289,30,426
valve,OCSVM,0.5568,0.0779,0.5449,0.5449,1.0,0.7054,-5.507862,0,400,0,479
