machine,method,AUC,pAUC,Accuracy,Precision,Recall,F1,Threshold,TN,FP,FN,TP
fan,CNN14_kNN(k=5),0.5275,0.0769,0.7867,0.7867,1.0,0.8806,6.366916,0,400,0,1475
pump,CNN14_kNN(k=5),0.6985,0.2005,0.6449,0.6145,0.8947,0.7286,13.920694,144,256,48,408
valve,CNN14_kNN(k=5),0.7119,0.1909,0.6416,0.6111,0.9415,0.7412,13.513215,113,287,28,451
