machine,method,AUC,pAUC,Accuracy,Precision,Recall,F1,Threshold,TN,FP,FN,TP
fan,TransformerAE,0.5619,0.077,0.7915,0.793,0.9946,0.8824,0.001345,17,383,8,1467
pump,TransformerAE,0.6427,0.1184,0.5444,0.5391,0.9978,0.7,0.00138,11,389,1,455
valve,TransformerAE,0.5443,0.0399,0.5472,0.5463,0.9979,0.7061,0.000976,3,397,1,478
