machine,method,AUC,pAUC,Accuracy,Precision,Recall,F1,Threshold,TN,FP,FN,TP
fan,TruncCNN14Block4_SegKNN(k=5),0.5646,0.0518,0.7867,0.7867,1.0,0.8806,3.099771,0,400,0,1475
pump,TruncCNN14Block4_SegKNN(k=5),0.7064,0.1865,0.5783,0.5608,0.9605,0.7082,6.097018,57,343,18,438
valve,TruncCNN14Block4_SegKNN(k=5),0.6669,0.1002,0.6644,0.6608,0.7891,0.7193,6.523702,206,194,101,378
