machine,method,AUC,pAUC,Accuracy,Precision,Recall,F1,Threshold,TN,FP,FN,TP
fan,IsolationForest,0.5028,0.0531,0.7877,0.7875,1.0,0.8811,0.350441,2,398,0,1475
pump,IsolationForest,0.5969,0.0872,0.6016,0.5754,0.9627,0.7203,0.375241,76,324,17,439
valve,IsolationForest,0.523,0.0369,0.5449,0.5449,1.0,0.7054,0.358567,0,400,0,479
